id,pmid,year,study_type,evidence_quality,n,coi,effect_size,title,authors,url,ingredients,research_reviews
pmid-40495903,40495903,2025,Review,low,,,"","Effects of coenzyme Q10 administration on blood pressure and heart rate in","Karimi et al.",https://pubmed.ncbi.nlm.nih.gov/40495903/,coq10,
pmid-40696819,40696819,2025,Comparative Study,moderate,,,"","Ergothioneine Treatment Ameliorates the Pathological Phenotypes of Parkinson's","Tng et al.",https://pubmed.ncbi.nlm.nih.gov/40696819/,ergothionein,
pmid-40732054,40732054,2025,,low,,,"","Gut Microbiome Modulation and Health Benefits of a Novel Fucoidan Extract","Various",https://pubmed.ncbi.nlm.nih.gov/40732054/,fucoidan,
pmid-40770094,40770094,2025,Journal Article,high,,,"","Lithium deficiency and the onset of Alzheimer's disease","Aron L et al.",https://pubmed.ncbi.nlm.nih.gov/40770094/,lithium-orotat,
pmid-40911749,40911749,2025,Meta-Analysis,high,,,"","Oral Hyaluronic Acid Supplement: Efficacy in Skin Hydration, Elasticity, and","Amin P et al.",https://pubmed.ncbi.nlm.nih.gov/40911749/,hyaluronsaeure,
pmid-40959699,40959699,2025,,low,,,"","Benefits, side effects, and uses of Hericium erinaceus as a supplement: a","Menon et al.",https://pubmed.ncbi.nlm.nih.gov/40959699/,lion-s-mane,
pmid-41249370,41249370,2025,RCT,high,20,,"","Investigating fucoidan blend supplementation and resistance training in humans:","Various",https://pubmed.ncbi.nlm.nih.gov/41249370/,fucoidan,
pmid-41305668,41305668,2025,Comparative Study,moderate,,,"","Future Directions in Choline: From Neurodevelopment to Cardiometabolic Health","Paules et al.",https://pubmed.ncbi.nlm.nih.gov/41305668/,cholin,
pmid-41422283,41422283,2025,,low,,,"","Oral sodium hyaluronate improves skin hydration, barrier function and signs","Dolečková et al.",https://pubmed.ncbi.nlm.nih.gov/41422283/,hyaluronsaeure,
pmid-38070683,38070683,2024,,low,,,"","Effect of cocoa extract supplementation on cognitive function: results from","Vyas et al.",https://pubmed.ncbi.nlm.nih.gov/38070683/,multivitamin,
pmid-38088214,38088214,2024,,low,,,"","A hub for regulation of mitochondrial metabolism: Fatty acid and lipoic acid","Dieckmann et al.",https://pubmed.ncbi.nlm.nih.gov/38088214/,akg,
pmid-38433010,38433010,2024,,low,,,"","Effects and safety of resveratrol supplementation in older adults: A comprehensive","Yadegar et al.",https://pubmed.ncbi.nlm.nih.gov/38433010/,resveratrol,
pmid-39117797,39117797,2024,,low,,,"","Spermidine is essential for fasting-mediated autophagy and longevity","Hofer SJ et al.",https://pubmed.ncbi.nlm.nih.gov/39117797/,spermidine,
pmid-39126572,39126572,2024,,low,,,"","Apigenin and inflammation in the brain: can apigenin inhibit neuroinflammation","Olasehinde et al.",https://pubmed.ncbi.nlm.nih.gov/39126572/,apigenin,
pmid-39221499,39221499,2024,,low,,,"","Unveiling citicoline's mechanisms and clinical relevance in the treatment of","Cavalu et al.",https://pubmed.ncbi.nlm.nih.gov/39221499/,cdp-cholin,
pmid-36139790,36139790,2023,,low,,,"","Low Plasma Ergothioneine Predicts Cognitive and Functional Decline in an Elderly","Cheah IK et al.",https://pubmed.ncbi.nlm.nih.gov/36139790/,ergothionein,
pmid-36649934,36649934,2023,,low,,,"","A systematic review and meta-analysis of randomized controlled trials investigating","Hosseini et al.",https://pubmed.ncbi.nlm.nih.gov/36649934/,curcumin,
pmid-36778891,36778891,2023,,low,,,"","Molecular and Therapeutic Insights of Alpha-Lipoic Acid as a Potential Molecule","Tripathi et al.",https://pubmed.ncbi.nlm.nih.gov/36778891/,alpha-liponsaeure,
pmid-37163454,37163454,2023,,low,,,"","Psyllium is a natural nonfermented gel-forming fiber that is effective for","Gibb et al.",https://pubmed.ncbi.nlm.nih.gov/37163454/,flohsamenschalen,
pmid-37289866,37289866,2023,,low,,,"","Taurine deficiency as a driver of aging","Singh P et al.",https://pubmed.ncbi.nlm.nih.gov/37289866/,taurin,
pmid-37299549,37299549,2023,,low,,,"","Effects of L-Carnitine Intake on Exercise-Induced Muscle Damage and Oxidative","Caballero-García et al.",https://pubmed.ncbi.nlm.nih.gov/37299549/,l-carnitin,
pmid-37301079,37301079,2023,,low,,,"","Sustainable production and pharmaceutical applications of β-glucan from microbial","Murphy et al.",https://pubmed.ncbi.nlm.nih.gov/37301079/,beta-glucan,
pmid-37432380,37432380,2023,,low,,,"","Dietary Supplements Containing Oat Beta-Glucan and/or Green Coffee (Poly)phenols","García-Cordero et al.",https://pubmed.ncbi.nlm.nih.gov/37432380/,beta-glucan,
pmid-37649436,37649436,2023,,low,,,"","Vegetarian diets and diets which restrict animal-source foods during childhood","Chouraqui et al.",https://pubmed.ncbi.nlm.nih.gov/37649436/,calcium,
study-tornatore-2023-osteomikrobiologie,,2023,,,,,"","Osteomikrobiologie - aktuelle Literaturübersicht","Tornatore S",https://doi.org/10.1024/1661-8157/a004082,,
pmid-34958679,34958679,2022,,low,,,"","The ergothioneine transporter (ETT): substrates and locations, an inventory","Gründemann et al.",https://pubmed.ncbi.nlm.nih.gov/34958679/,ergothionein,
pmid-35234312,35234312,2022,,low,,,"","Effects of alpha lipoic acid on metabolic syndrome: A comprehensive review","Najafi et al.",https://pubmed.ncbi.nlm.nih.gov/35234312/,alpha-liponsaeure,
pmid-35268089,35268089,2022,,low,,,"","GlyNAC (Glycine and N-Acetylcysteine) Supplementation in Mice Increases Length","Kumar P et al.",https://pubmed.ncbi.nlm.nih.gov/35268089/,glynac,
pmid-35294044,35294044,2022,,low,,,"","Vitamin A supplementation for preventing morbidity and mortality in children","Imdad A et al.",https://pubmed.ncbi.nlm.nih.gov/35294044/,vitamin-a,
pmid-42410840,42410840,2022,,low,,,"","Impact of folic acid supplementation on cardiovascular risk among individuals","Zhao JV et al.",https://pubmed.ncbi.nlm.nih.gov/42410840/,folsaeure,
study-chrom-ods-nih-2022,,2022,,,,,"","Chromium","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,,
study-kalium-ods-nih-2022,,2022,,,,,"","Potassium","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/,,
study-kupfer-ods-nih-2022,,2022,,,,,"","Copper","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
study-mangan-ods-nih-2022,,2022,,,,,"","Manganese","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Manganese-HealthProfessional/,,
study-molybdaen-ods-nih-2022,,2022,,,,,"","Molybdenum","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Molybdenum-HealthProfessional/,,
study-phosphor-ods-nih-2022,,2022,,,,,"","Phosphorus","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Phosphorus-HealthProfessional/,,
study-vitamin-b5-ods-nih-2022,,2022,,,,,"","Pantothenic acid","National Institutes of Health Office of Dietary Supplements",https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/,,
study-vitamin-b6-ods-nih-2022,,2022,,,,,"","Vitamin B6","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/,,
study-vitamin-b7-ods-nih-2022,,2022,,,,,"","Biotin","Office of Dietary Supplements, NIH",https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/,,
pmid-33631772,33631772,2021,,low,,,"","The role of dietary supplements that modulate one-carbon metabolism on stroke","Yahn et al.",https://pubmed.ncbi.nlm.nih.gov/33631772/,cholin,
pmid-33783984,33783984,2021,,low,,,"","Glycine and N-acetylcysteine (GlyNAC) supplementation in older adults improves","Kumar et al.",https://pubmed.ncbi.nlm.nih.gov/33783984/,glynac,
pmid-33912895,33912895,2021,,low,,,"","Vitamin B-6-Induced Neuropathy: Exploring the Mechanisms of Pyridoxine Toxicity","Hadtstein et al.",https://pubmed.ncbi.nlm.nih.gov/33912895/,vitamin-b6,
pmid-33939178,33939178,2021,,low,,,"","A fresh look at thiamine deficiency-new analyses by the global thiamine alliance","Bourassa et al.",https://pubmed.ncbi.nlm.nih.gov/33939178/,vitamin-b1,
pmid-34028001,34028001,2021,,low,,,"","Serum or plasma ferritin concentration as an index of iron deficiency and overload","Garcia-Casal et al.",https://pubmed.ncbi.nlm.nih.gov/34028001/,eisen,
pmid-34254371,34254371,2021,,low,,,"","Bacosides from Bacopa monnieri extract: An overview of the effects on neurological","Banerjee et al.",https://pubmed.ncbi.nlm.nih.gov/34254371/,bacopa,
pmid-34419735,34419735,2021,Review,low,,,"","Saffron (Crocus sativus L.) and health outcomes: a meta-research review of","Lopresti AL et al.",https://pubmed.ncbi.nlm.nih.gov/34419735/,safran,
pmid-34842765,34842765,2021,Review,low,,,"","Clinical Effects of L-Carnitine Supplementation on Physical Performance in","Vecchio et al.",https://pubmed.ncbi.nlm.nih.gov/34842765/,l-carnitin,
pmid-34848522,34848522,2021,,low,,,"","Evaluating the role of orange juice, HESPERidin in vascular HEALTH benefits","Verny et al.",https://pubmed.ncbi.nlm.nih.gov/34848522/,hesperidin,
pmid-34933842,34933842,2021,RCT,high,,,"","Oral intake of a new full-spectrum hyaluronan improves skin profilometry and","Michelotti A et al.",https://pubmed.ncbi.nlm.nih.gov/34933842/,hyaluronsaeure,
pmid-35583806,35583806,2021,Review,low,,,"","Phytochemistry, synthesis, analytical methods, pharmacological activity, and","Li Z et al.",https://pubmed.ncbi.nlm.nih.gov/35583806/,cistanche,
pmid-35616942,35616942,2021,,low,,,"","Effects of Spermidine Supplementation on Cognition and Biomarkers in Older","Wirth M et al.",https://pubmed.ncbi.nlm.nih.gov/35616942/,spermidine,
pmid-31685720,31685720,2020,Clinical Trial,moderate,10,,"","Effect of oral administration of nicotinamide mononucleotide on clinical parameters","Irie J et al.",https://pubmed.ncbi.nlm.nih.gov/31685720/,nmn,
pmid-32221179,32221179,2020,Meta-Analysis,high,,,"","Safety and Efficacy of Saffron (Crocus sativus L.) for Treating Mild to Moderate","Tóth B et al.",https://pubmed.ncbi.nlm.nih.gov/32221179/,safran-preis-gesundheit; safran,
pmid-32436266,32436266,2020,Systematic Review,high,,,"","Effect of Collagen Supplementation on Skin Aging: A Systematic Review","Barati M et al.",https://pubmed.ncbi.nlm.nih.gov/32436236/,kollagen,
pmid-32635492,32635492,2020,,low,,,"","The Intrinsic Virtues of EGCG, an Extremely Good Cell Guardian, on Prevention","Potenza et al.",https://pubmed.ncbi.nlm.nih.gov/32635492/,egcg,
pmid-32877690,32877690,2020,Observational Study,moderate,,,"","Alpha-Ketoglutarate, an Endogenous Metabolite, Extends Lifespan and Compresses","Asadi et al.",https://pubmed.ncbi.nlm.nih.gov/32877690/,akg,
pmid-32922303,32922303,2020,,low,,,"","The Muscle Carnosine Response to Beta-Alanine Supplementation: A Systematic","Rezende et al.",https://pubmed.ncbi.nlm.nih.gov/32922303/,beta-alanin,
pmid-33190147,33190147,2020,,low,,,"","Effect of High-Dose Omega-3 Fatty Acids vs Corn Oil on Major Adverse Cardiovascular","Nicholls SJ et al.",https://pubmed.ncbi.nlm.nih.gov/33190147/,omega-3,
pmid-33260549,33260549,2020,Review,low,,,"","Magnesium Status and Stress: The Vicious Circle Concept Revisited","Pickering G et al.",https://pubmed.ncbi.nlm.nih.gov/33260549/,magnesium,
pmid-39004102,39004102,2020,,low,,,"","The flavonoid fisetin reduces multiple physiological risk factors for dementia","Maher P",https://pubmed.ncbi.nlm.nih.gov/39004102/,fisetin,
pmid-41564845,41564845,2020,,low,,,"","Senolytics, dasatanib plus quercetin, reduce kidney inflammation, senescent","Kirkland JL & Tchkonia T",https://pubmed.ncbi.nlm.nih.gov/41564845/,quercetin,
